,,k_temp,k_conc
GR,Cereal grains nec,-0.0365013198489099,0.0006520373790910331
GR,"Vegetables, fruit, nuts",0.13742622548202907,0.0015030647310013542
GR,Oil seeds,-0.06157652973069751,0.0013687673819204537
GR,"Sugar cane, sugar beet",-0.027641140231648608,0.0013658902307509622
GR,Plant-based fibers,-0.030121140269465083,0.001040731683735812
GR,Crops nec,-0.030121140269465083,0.001040731683735812
HR,Paddy rice,-0.07200160029724004,0.0012031760557356006
HR,Wheat,0.02687183603569068,0.0005438579398702836
HR,Cereal grains nec,-0.02082840239936746,0.0006167140143709994
HR,"Vegetables, fruit, nuts",-0.03872676772621781,0.0011698624213554837
HR,Oil seeds,-0.030335521591100915,0.0012600081195792531
HR,"Sugar cane, sugar beet",0.22869117296481895,0.0005931295916034181
HR,Plant-based fibers,-0.0017516342087699887,0.0008726655066719536
HR,Crops nec,-0.0017516342087699887,0.0008726655066719536
HU,Paddy rice,-0.045997908658641055,0.0012211128808862091
HU,Wheat,0.01708260256468366,0.0007709031472283904
HU,Cereal grains nec,-0.014368266896076181,0.0007011623310129963
HU,"Vegetables, fruit, nuts",-0.015504881656316982,0.0011605727951123543
HU,Oil seeds,-0.020482141652812723,0.0012021063283298894
HU,"Sugar cane, sugar beet",0.23086150873875894,0.000559995009495901
HU,Plant-based fibers,0.002856707164500731,0.0008768683647678387
HU,Crops nec,0.002856707164500731,0.0008768683647678387
ID,Paddy rice,-0.062181083114193125,0.0011374393201753804
ID,Wheat,-0.10773630024693433,0.0008437953852104789
ID,Cereal grains nec,-0.07028870668362179,0.0006748407176072636
ID,"Vegetables, fruit, nuts",-0.07344390275849447,0.0015856767908587097
ID,Oil seeds,-0.07162147603229473,0.001389465152599129
ID,"Sugar cane, sugar beet",-0.04539107690456288,0.0008035356787220009
ID,Plant-based fibers,-0.06870516030077059,0.0010110855151537923
ID,Crops nec,-0.06870516030077059,0.0010110855151537923
IE,Paddy rice,0.058134600311434845,0.001074821279615249
IE,Wheat,0.01810996651804686,0.0006630481846768358
IE,Cereal grains nec,0.05647619912935717,0.000635014746221733
IE,"Vegetables, fruit, nuts",0.03328396415534612,0.0007380126590192033
IE,Oil seeds,0.10010182005269339,0.0009536211037213187
IE,"Sugar cane, sugar beet",0.051134220508123315,0.0007326237404212971
IE,Plant-based fibers,0.06690250413636431,0.0007403741988642598
IE,Crops nec,0.06690250413636431,0.0007403741988642598
IN,Paddy rice,-0.029121057199306244,0.0013207097877574708
IN,Wheat,-0.0736472405951498,0.0009357705047804412
IN,Cereal grains nec,-0.02353021710204566,0.0007387836257028694
IN,"Vegetables, fruit, nuts",-0.03851734423940675,0.0015522413410819637
IN,Oil seeds,-0.019775340043368617,0.0013646400050951358
IN,"Sugar cane, sugar beet",-0.03718354950251944,0.0007672847175722012
IN,Plant-based fibers,-0.026292689959905125,0.0010115331630728577
IN,Crops nec,-0.026292689959905125,0.0010115331630728577
IT,Paddy rice,-0.04674266955792198,0.0012576011352073138
IT,Wheat,-0.013478417945540591,0.0005989880527665284
IT,Cereal grains nec,-0.018486894182823062,0.0006541752779556314
IT,"Vegetables, fruit, nuts",0.07060544253924525,0.0014659497739903228
IT,Oil seeds,-0.02648664492958026,0.0013212008044948904
IT,"Sugar cane, sugar beet",-0.007665777296736093,0.0006146037611878034
IT,Plant-based fibers,-0.012758538037262127,0.0009634760925350122
IT,Crops nec,-0.012758538037262127,0.0009634760925350122
JP,Paddy rice,-0.01631697088046008,0.0011943398404018384
JP,Wheat,0.058531056225523355,0.0006443075809161354
JP,Cereal grains nec,0.026076364359178462,0.0006469744178444986
JP,"Vegetables, fruit, nuts",-0.04172395327914553,0.001504782344664018
JP,Oil seeds,0.04718602480493323,0.0012356591253457176
